Constituency no.,Party
1,TRS
2,TRS
3,TRS
4,TRS
5,INC
6,TRS
7,TRS
8,TRS
9,TRS
10,TRS
11,TRS
12,TRS
13,TRS
14,TRS
15,INC
16,TRS
17,TRS
18,TRS
19,TRS
20,TRS
21,TRS
22,TRS
23,AIFB
24,INC
25,TRS
26,TRS
27,TRS
28,TRS
29,TRS
30,TRS
31,TRS
32,TRS
33,TRS
34,TRS
35,TRS
36,TRS
37,TRS
38,TRS
39,INC
40,TRS
41,TRS
42,TRS
43,TRS
44,TRS
45,TRS
46,TRS
47,TRS
48,TRS
49,INC
50,INC
51,TRS
52,TRS
53,TRS
54,TRS
55,TRS
56,INC
57,TRS
58,AIMM
59,TRS
60,TRS
61,TRS
62,TRS
63,AIMM
64,AIMM
65,BJP
66,AIMM
67,AIMM
68,AIMM
69,AIMM
70,TRS
71,TRS
72,TRS
73,TRS
74,TRS
75,TRS
76,TRS
77,TRS
78,TRS
79,TRS
80,TRS
81,TRS
82,TRS
83,TRS
84,TRS
85,INC
86,TRS
87,TRS
88,TRS
89,INC
90,TRS
91,TRS
92,TRS
93,INC
94,TRS
95,INC
96,TRS
97,TRS
98,TRS
99,TRS
100,TRS
101,TRS
102,TRS
103,TRS
104,TRS
105,TRS
106,TRS
107,TRS
108,INC
109,INC
110,INC
111,INC
112,TRS
113,INC
114,INC
115,IND
116,TDP
117,INC
118,TDP
119,INC